day,variable,value,notmyself,myself,sum,x
Mon,12:00,1.0,0.8,0.25,1432,1432
Mon,13:00,1.8,1.5,0.25,1496,2618
Mon,14:00,1.3,1.3,0.00,1382,1728
Mon,15:00,1.3,1.3,0.00,1236,1545
Mon,16:00,1.8,1.3,0.50,1355,2371
Mon,17:00,1.8,1.8,0.00,1682,2943
Mon,18:00,2.8,2.5,0.25,1531,4211
Mon,19:00,1.3,1.3,0.00,1363,1704
Mon,20:00,0.3,0.3,0.00,1650,413
Tue,12:00,1.3,1.3,0.00,1471,1839
Tue,13:00,1.3,0.5,0.75,1108,1385
Tue,14:00,1.3,0.0,1.25,1542,1927
Tue,15:00,1.5,1.5,0.00,1541,2311
Tue,16:00,0.8,-0.3,1.00,1218,914
Tue,17:00,0.8,0.3,0.50,1307,980
Tue,18:00,2.8,2.8,0.00,1364,3751
Tue,19:00,1.8,1.8,0.00,1342,2348
Tue,20:00,1.0,1.0,0.00,1798,1798
Wed,12:00,2.0,1.4,0.60,1717,3433
Wed,13:00,0.2,0.2,0.00,1115,223
Wed,14:00,1.8,1.2,0.60,1407,2533
Wed,15:00,2.2,1.6,0.60,1486,3270
Wed,16:00,0.8,0.6,0.20,1407,1125
Wed,17:00,2.6,2.0,0.60,1436,3733
Wed,18:00,1.6,1.2,0.40,1357,2171
Wed,19:00,2.6,2.2,0.40,1478,3844
Wed,20:00,1.0,0.6,0.40,1534,1534
Thu,12:00,2.2,1.4,0.80,1506,3313
Thu,13:00,1.6,1.2,0.40,1371,2194
Thu,14:00,1.6,1.4,0.20,1276,2042
Thu,15:00,2.2,1.2,1.00,1523,3350
Thu,16:00,2.0,1.4,0.60,1369,2737
Thu,17:00,3.4,2.8,0.60,1510,5134
Thu,18:00,3.8,3.6,0.20,1473,5596
Thu,19:00,1.6,1.4,0.20,1411,2257
Thu,20:00,1.0,0.8,0.20,1554,1554
Fri,12:00,3.8,2.8,1.00,1941,7280
Fri,13:00,2.5,2.0,0.50,1567,3918
Fri,14:00,2.3,0.8,1.50,1700,3825
Fri,15:00,1.8,1.0,0.75,1485,2599
Fri,16:00,3.3,2.3,1.00,1490,4844
Fri,17:00,3.3,2.5,0.75,1663,5404
Fri,18:00,3.8,3.3,0.50,1505,5646
Fri,19:00,2.0,1.5,0.50,1365,2731
Fri,20:00,2.5,2.3,0.25,1578,3946
Sat,12:00,2.3,1.5,0.75,1872,4211
Sat,13:00,2.8,2.3,0.50,1558,4284
Sat,14:00,4.5,4.3,0.25,1712,7704
Sat,15:00,3.5,3.0,0.50,1605,5617
Sat,16:00,3.8,3.0,0.75,1708,6404
Sat,17:00,4.8,3.8,1.00,1441,6843
Sat,18:00,4.8,4.5,0.25,1665,7911
Sat,19:00,2.5,2.3,0.25,1391,3478
Sat,20:00,2.3,2.3,0.00,1428,3212
Sun,12:00,1.3,1.0,0.25,1519,1899
Sun,13:00,3.3,1.8,1.50,1768,5745
Sun,14:00,2.8,2.0,0.75,1483,4078
Sun,15:00,3.8,2.8,1.00,1566,5871
Sun,16:00,3.3,3.0,0.25,1502,4881
Sun,17:00,3.0,2.8,0.25,1376,4127
Sun,18:00,3.5,2.8,0.75,1564,5474
Sun,19:00,2.5,1.8,0.75,1382,3455
Sun,20:00,1.0,1.0,0.00,1645,1645