day,variable,value
Mon,12:00,3.0
Mon,13:00,2.8
Mon,14:00,1.8
Mon,15:00,3.2
Mon,16:00,3.2
Mon,17:00,3.4
Mon,18:00,4.4
Mon,19:00,3.8
Mon,20:00,0.2
Tue,12:00,3.5
Tue,13:00,4.5
Tue,14:00,2.8
Tue,15:00,2.3
Tue,16:00,3.8
Tue,17:00,5.3
Tue,18:00,3.3
Tue,19:00,2.5
Tue,20:00,0.8
Wed,12:00,5.0
Wed,13:00,3.0
Wed,14:00,4.5
Wed,15:00,3.0
Wed,16:00,2.0
Wed,17:00,5.5
Wed,18:00,5.3
Wed,19:00,5.5
Wed,20:00,2.0
Thu,12:00,3.8
Thu,13:00,3.5
Thu,14:00,3.3
Thu,15:00,3.8
Thu,16:00,4.5
Thu,17:00,5.5
Thu,18:00,6.8
Thu,19:00,3.3
Thu,20:00,1.5
Fri,12:00,5.2
Fri,13:00,4.0
Fri,14:00,4.4
Fri,15:00,3.6
Fri,16:00,3.8
Fri,17:00,5.2
Fri,18:00,9.2
Fri,19:00,4.8
Fri,20:00,5.0
Sat,12:00,4.4
Sat,13:00,5.4
Sat,14:00,4.6
Sat,15:00,6.6
Sat,16:00,6.6
Sat,17:00,8.6
Sat,18:00,9.2
Sat,19:00,6.8
Sat,20:00,4.6
Sun,12:00,3.2
Sun,13:00,5.8
Sun,14:00,5.4
Sun,15:00,5.4
Sun,16:00,5.0
Sun,17:00,4.0
Sun,18:00,6.2
Sun,19:00,4.8
Sun,20:00,2.8